codigo_estacion,nombre_estacion,region,nombre_region,altura,latitud,longitud,anio,mes,agua_caida
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2025,8,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2025,9,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2025,10,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2025,11,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2025,12,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2021,1,0.10000000149011612
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2021,2,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2021,3,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2021,4,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2021,5,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2021,6,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2021,7,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2021,8,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2021,9,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2021,10,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2021,11,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2021,12,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2022,1,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2022,2,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2022,3,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2022,4,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2022,5,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2022,6,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2022,7,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2022,8,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2022,9,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2022,10,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2022,11,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2022,12,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2023,1,0.10000000149011612
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2023,2,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2023,3,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2023,4,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2023,5,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2023,6,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2023,7,0.20000000298023224
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2023,8,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2023,9,0.10000000149011612
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2023,10,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2023,11,0.20000000298023224
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2023,12,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2024,1,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2024,2,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2024,3,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2024,4,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2024,5,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2024,6,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2024,7,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2024,8,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2024,9,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2024,10,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2024,11,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2024,12,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2025,1,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2025,2,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2025,3,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2025,4,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2025,5,0.0
180042,"Cerro Sombrero, Arica",15,Arica y Parinacota,122,-18.51250,-70.26556,2025,6,0.0
